old_name,new_name
ROWBOT SYSTEMS LLC,ROWBOT SYSTEMS LLC
ROWLAND ROBERT REEVES,ROWLAND ROBERT REEVES
"Virginia Institute of Marine Science, William & Mary","Virginia Institute of Marine Science, William & Mary"
RSTREAM RECYCLING INC,RSTREAM RECYCLING INC
RT MICRODX INC.,RT MICRODX INC.
"RTM VITAL SIGNS, LLC","RTM VITAL SIGNS, LLC"
Villanova Inn and Conference Center,Villanova Inn and Conference Center
"RUBATO, INC.","RUBATO, INC."
"RUBI LABORATORIES, INC.","RUBI LABORATORIES, INC."
"RIVIEH, INC.","RIVIEH, INC."
Vytal plant science Research LLC,Vytal plant science Research LLC
RIVALIA CHEMICAL CO,RIVALIA CHEMICAL CO
"WALNOT, INC.","WALNOT, INC."
WATERUS LLC,WATERUS LLC
"REVIDIA THERAPEUTICS, INC","REVIDIA THERAPEUTICS, INC"
"REVIVBIO, INC","REVIVBIO, INC"
REVIVE BIOTECHNOLOGY INC.,REVIVE BIOTECHNOLOGY INC.
"WATERSHED MEDICAL, INC","WATERSHED MEDICAL, INC"
"REVMEDICA, INC.","REVMEDICA, INC."
"REVOPSIS THERAPEUTICS, INC.","REVOPSIS THERAPEUTICS, INC."
REVTERRA CORPORATION,REVTERRA CORPORATION
WASHINGTON STATE DEPT LAB & INDUST,WASHINGTON STATE DEPT LAB & INDUST
"REZIGENE, LLC","REZIGENE, LLC"
"RHEUMAGEN, INC.","RHEUMAGEN, INC."
RHINO THERAPEUTICS INC,RHINO THERAPEUTICS INC
WAIHOME LLC,WAIHOME LLC
"RITHIM BIOLOGICS, INC.","RITHIM BIOLOGICS, INC."
RIA TECHNOLOGY MANAGEMENT INC.,RIA TECHNOLOGY MANAGEMENT INC.
RIBO-THERAPEUTICS LLC,RIBO-THERAPEUTICS LLC
"RIBOSCIENCE, LLC","RIBOSCIENCE, LLC"
RICH EARTH LLC,RICH EARTH LLC
RICHARD STOCKTON COLLEGE OF NEW JERSEY,RICHARD STOCKTON COLLEGE OF NEW JERSEY
RICHMOND INSTITUTE FOR VETERANS RESEARCH,RICHMOND INSTITUTE FOR VETERANS RESEARCH
W1FB US MILITARY ACADEMY,W1FB US MILITARY ACADEMY
"RIP ROAD, INC.","RIP ROAD, INC."
"RIPPLE BIOSCIENCES, LLC","RIPPLE BIOSCIENCES, LLC"
"RIPPLE EFFECT COMMUNICATIONS, INC.","RIPPLE EFFECT COMMUNICATIONS, INC."
RIPPLE EFFECT WATER LITERACY PROJECT,RIPPLE EFFECT WATER LITERACY PROJECT
"RISSANA, LLC","RISSANA, LLC"
"RUMI SCIENTIFIC, INC.","RUMI SCIENTIFIC, INC."
ViSUS LLC,ViSUS LLC
Rutgers School of Engineering (SoE),Rutgers School of Engineering (SoE)
RUSHNU INC,RUSHNU INC
"VUEMEN, INC.","VUEMEN, INC."
VT STATE AGENCY/AGRICULTURE/FOOD/MARKETS,VT STATE AGENCY/AGRICULTURE/FOOD/MARKETS
VRM LABS INC,VRM LABS INC
Regents of the University of Wisconsin System dba UW-Green Bay,University of Wisconsin System
Rehabilitation Institute of Chicago,Rehabilitation Institute of Chicago
RenewCO2 Inc.,RenewCO2 Inc.
Research Foundation CUNY on behalf of Hunter College CUNY,Research Foundation CUNY on behalf of Hunter College CUNY
Research Foundation/CUNY obo The College of Staten Island,Research Foundation/CUNY
Resuture Inc.,Resuture Inc.
"VOXEL HEALTHCARE, LLC","VOXEL HEALTHCARE, LLC"
Retrn Bioworks Inc.,Retrn Bioworks Inc.
Reuben H. Fleet Science Center,Reuben H. Fleet Science Center
Rhaeos,Rhaeos
Richard J. Daley College City Colleges of Chicago,Richard J. Daley College City Colleges of Chicago
Rio Bravo Conservation and Management Area,Rio Bravo Conservation and Management Area
VOVA IDA THERAPEUTICS INC,VOVA IDA THERAPEUTICS INC
"RoadPrintz, Inc.","RoadPrintz, Inc."
"Robichaux, Colleen E","Robichaux, Colleen E"
VORTEX THERAPEUTICS INC,VORTEX THERAPEUTICS INC
"Roca Water, INC.","Roca Water, INC."
Rocky Mountain Innovation Initiative (DBA: Innosphere Ventures),Rocky Mountain Innovation Initiative (DBA: Innosphere Ventures)
Romberg Tiburon Center - SF State,Romberg Tiburon Center
Rosebud Biosciences Inc.,Rosebud Biosciences Inc.
Rowan College of South Jersey - - Cumberland Campus,Rowan College of South Jersey
Rowan University School of Osteopathic Medicine,Rowan University School of Osteopathic Medicine
Russian Historical State Archive,Russian Historical State Archive
Rutgers School of Dental Medicine,Rutgers School of Dental Medicine
Regents of the University of Michigan-Ann Arbor,University of Michigan-Ann Arbor
"VULCAN BIOLOGICS, INC.","VULCAN BIOLOGICS, INC."
"VULINTUS, LLC","VULINTUS, LLC"
Rector & Visitors of the University of Virginia,Rector & Visitors of the University of Virginia
ViQi Inc.,ViQi Inc.
Veramorph LLC,Veramorph LLC
"RYBODYN, INC.","RYBODYN, INC."
"RYP LABS, INC.","RYP LABS, INC."
Vena Vitals,Vena Vitals
Radwave Technologies Inc.,Radwave Technologies Inc.
"Ramirez-Corona, Bryan A","Ramirez-Corona, Bryan A"
"Rarebird, Inc.","Rarebird, Inc."
RaySecur Inc.,RaySecur Inc.
Vaughn College,Vaughn College
"Raydiant Oximetry, Inc","Raydiant Oximetry, Inc"
ReSource Chemical Corp.,ReSource Chemical Corporation.
Red Lake Nation College,Red Lake Nation College
"VXBIOSCIENCES, INC.","VXBIOSCIENCES, INC."
RefloDx LLC,RefloDx LLC
"Regenerated Textile Industries, LLC","Regenerated Textile Industries, LLC"
Regents of he University of Minnesota,he University of Minnesota
Vanderbilt University Department of Biomedical Engineering,Vanderbilt University Department of Biomedical Engineering
"Regents of the Univ. of Calif., U.C. San Diego","University. of Calif., U.C. San Diego"
"Regents of the Univ. of Calif., UC San Diego","University. of Calif., UC San Diego"
Regents of the University of CO,University of CO
Regents of the University of California (UC San Diego),University of California (UC San Diego)
"Regents of the University of California, Davis campus","University of California, Davis campus"
Vanderbilt University Biological Sciences,Vanderbilt University Biological Sciences
Regents of the University of California-Berkeley,University of California-Berkeley
VYLUMA INC.,VYLUMA INC.
SILVERBILLS INC.,SILVERBILLS INC.
"SIMERGENT, LLC","SIMERGENT, LLC"
SIMMBION LLC,SIMMBION LLC
"SUPERIOR STATISTICAL RESEARCH, LLC","SUPERIOR STATISTICAL RESEARCH, LLC"
SUNTHRU LLC,SUNTHRU LLC
SUNY @ Stony Brook,SUNY @ Stony Brook
"VERRA THERAPEUTICS, INC.","VERRA THERAPEUTICS, INC."
SUNY College at Cortland,SUNY College
SUNY College at Fredonia,SUNY College
NORTHERN MARIANAS COLLEGE,NORTHERN MARIANAS COLLEGE
"VERISKIN, INC.","VERISKIN, INC."
SUNY College at Plattsburgh,SUNY College
"VERISIM LIFE, INC.","VERISIM LIFE, INC."
VERILY LIFE SCIENCES LLC,VERILY LIFE SCIENCES LLC
SUNY College at Purchase,SUNY College
SUNY College of Technology Alfred,SUNY College of Technology Alfred
SUNY Empire State College,SUNY Empire State College
"VERANTOS, INC.","VERANTOS, INC."
"VERAMORPH, LLC","VERAMORPH, LLC"
SUNY Oswego,SUNY Oswego
SUNY STONY BROOK,SUNY STONY BROOK
"VERACHEM, LLC","VERACHEM, LLC"
"VENTRIX, INC.","VENTRIX, INC."
SUNY at Binghamton University,SUNY
"SUNY at Buffalo,","SUNY at Buffalo,"
SUNY at Oswego,SUNY
SUNY-Buffalo Dept. of Chemistry,SUNY-Buffalo Dept. of Chemistry
SUNY-ESF,SUNY-ESF
SUPERBLOOM DESIGN,SUPERBLOOM DESIGN
"SUPERCLEAN GLASS, INC.","SUPERCLEAN GLASS, INC."
"SUPERFLUID DX, INC.","SUPERFLUID DX, INC."
"SUNTHETICS, INC.","SUNTHETICS, INC."
SUNFLOWER THERAPEUTICS PBC,SUNFLOWER THERAPEUTICS PBC
SUMA SOLUTIONS,SUMA SOLUTIONS
STEXOLE LLC,STEXOLE LLC
STELLAR ENGIINE,STELLAR ENGIINE
STELLARTECH RESEARCH CORPORATION,STELLARTECH RESEARCH CORPORATION
"VESTECK, INC","VESTECK, INC"
"STELLULAR BIO, INC.","STELLULAR BIO, INC."
STEM Education Center,STEM Education Center
STEM NEXT OPPORTUNITY FUND,STEM NEXT OPPORTUNITY FUND
STEM RESOURCES LLC,STEM RESOURCES LLC
"STEMCULTURES, LLC","STEMCULTURES, LLC"
"STEMINA BIOMARKER DISCOVERY, INC.","STEMINA BIOMARKER DISCOVERY, INC."
"STEMLOOP, INC.","STEMLOOP, INC."
"STEMSYNERGY THERAPEUTICS, INC.","STEMSYNERGY THERAPEUTICS, INC."
"STETH X MICROSYSTEMS, INC.","STETH X MICROSYSTEMS, INC."
VESICLE THERAPEUTICS INC.,VESICLE THERAPEUTICS INC.
"SUFFICIENTLY ADVANCED, INC.","SUFFICIENTLY ADVANCED, INC."
"STINGRAY THERAPEUTICS, INC.","STINGRAY THERAPEUTICS, INC."
STL SCIENTIFIC LLC,STL SCIENTIFIC LLC
"VERY REAL HELP, LLC","VERY REAL HELP, LLC"
"STORII, INC.","STORII, INC."
"STORX TECHNOLOGIES, INC.","STORX TECHNOLOGIES, INC."
"STRM.BIO, INC.","STRM.BIO, INC."
STRYKAGEN CORPORATION,STRYKAGEN CORPORATION
STUDENT RESEARCH & DEVELOPMENT,STUDENT RESEARCH & DEVELOPMENT
SUBMARINE SCIENTIFIC LLC,SUBMARINE SCIENTIFIC LLC
SUBR,SUBR
"SUBTIDAL, INC.","SUBTIDAL, INC."
"SUBTLE MEDICAL, INC.","SUBTLE MEDICAL, INC."
SUPERIOR NANO LLC,SUPERIOR NANO LLC
SUPT OF OZARK SCHOOL DISTRICT NO 14,SUPT OF OZARK SCHOOL DISTRICT NO 14
"SIMMERSION, LLC.","SIMMERSION, LLC."
"SUR180 THERAPEUTICS, LLC","SUR180 THERAPEUTICS, LLC"
Savage Medical Inc.,Savage Medical Inc.
Savimbo Inc.,Savimbo Inc.
School Board of Broward County Florida,School Board of Broward County Florida
"School District No.1j Multnomah County, Or","School District No.1j Multnomah County, Or"
School for American Research,School for American Research
"School for Marine Science and Technology, UMass Dartmouth","School for Marine Science and Technology, UMass Dartmouth"
"School of Biosciences, The University of Sheffield","School of Biosciences, The University of Sheffield"
School of Informatics and Computing@iupui,School of Informatics and Computing@iupui
"VELLUM BIOTECHNOLOGY, INC.","VELLUM BIOTECHNOLOGY, INC."
School of Mathematical & Statistical Sciences,School of Mathematical & Statistical Sciences
"School of Mathematics, University of Minnesota","School of Mathematics, University of Minnesota"
School of Pharmacy,School of Pharmacy
"Science Communication Lab, Inc.","Science Communication Lab, Inc."
"Scripps Institution of Oceanography, UC San Deigo","Scripps Institution of Oceanography, UC San Deigo"
"Scripps Institution of Oceanography, UC San Diego","Scripps Institution of Oceanography, UC San Diego"
Sea Bird Marina,Sea Bird Marina
Seattle Community College District Office,Seattle Community College District Office
Seattle Convention Center,Seattle Convention Center
"Seelinger, George H","Seelinger, George H"
Senseer LLC,Senseer LLC
"Serinus Labs, Inc.","Serinus Labs, Inc."
Set Point Solutions,Set Point Solutions
"Shannon Point Marine Center, Western Washington University","Shannon Point Marine Center, Western Washington University"
"VELLEX COMPUTING, INC.","VELLEX COMPUTING, INC."
"VELAKOR BIOTHERAPEUTICS, INC.","VELAKOR BIOTHERAPEUTICS, INC."
VECTORWAVE CORPORATION,VECTORWAVE CORPORATION
Shell Museum Educational Foundation,Shell Museum Educational Foundation
Sasya Inc,Sasya Inc
Santa Barbara Unified School District,Santa Barbara Unified School District
Sanitary Green Inc,Sanitary Green Inc
"SYNSORYBIO, INC.","SYNSORYBIO, INC."
SURGICAL INFECTION SOCIETY FOUNDATION FOR EDUCATION AND RESEARCH,SURGICAL INFECTION SOCIETY FOUNDATION FOR EDUCATION AND RESEARCH
"SURGICAL VISION SYSTEMS, INC.","SURGICAL VISION SYSTEMS, INC."
"SURVEY GENOMICS, INC.","SURVEY GENOMICS, INC."
"SUS CLINICALS, INC.","SUS CLINICALS, INC."
SUSMAX Inc,SUSMAX Inc
"SUSTAINABLE WORKPLACE ALLIANCE, INC.","SUSTAINABLE WORKPLACE ALLIANCE, INC."
"SYGNAMAP, INC.","SYGNAMAP, INC."
"SYMPHONY BIOSCIENCES, INC.","SYMPHONY BIOSCIENCES, INC."
SYNAPTIC HEALTH LLC,SYNAPTIC HEALTH LLC
SYNCANICA BIO,SYNCANICA BIO
SYNCHROHEALTH LLC,SYNCHROHEALTH LLC
"SYNERGY ENTERPRISES, INC.","SYNERGY ENTERPRISES, INC."
"SYNTAXISBIO, INC.","SYNTAXISBIO, INC."
San Jose State University Research Foundation,San Jose State University Research Foundation
"SYNTHIS THERAPEUTICS, INC.","SYNTHIS THERAPEUTICS, INC."
"VENOSTENT, INC.","VENOSTENT, INC."
"SYNVECT, INC.","SYNVECT, INC."
"SYNVENTA, LLC","SYNVENTA, LLC"
SYNVEST IMAGING INC.,SYNVEST IMAGING INC.
"SYNVIVIA, INC.","SYNVIVIA, INC."
"SYRACUSE BIOLABS, INC.","SYRACUSE BIOLABS, INC."
SYZYGY OPTICS LLC,SYZYGY OPTICS LLC
Saint Paul College-A community & Technical College,Saint Paul College-A community & Technical College
VELOXAI LLC,VELOXAI LLC
"San Francisco State University, Estuary & Ocean Science Center","San Francisco State University, Estuary & Ocean Science Center"
VELORUM THERAPEUTICS INC.,VELORUM THERAPEUTICS INC.
VETERANS EDUCATION AND RESEARCH ASSOCIATION OF MICHIGAN,VETERANS EDUCATION AND RESEARCH ASSOCIATION OF MICHIGAN
STEG AI CORPORATION,STEG AI CORPORATION
"STEAM INSTRUMENTS, INC.","STEAM INSTRUMENTS, INC."
"STEADI SYSTEMS, LLC","STEADI SYSTEMS, LLC"
SNJ PHARMA INC.,SNJ PHARMA INC.
SNOCHIP INC,SNOCHIP INC
VIRGINIA STATE DEPT OF HEALTH,VIRGINIA STATE DEPT OF HEALTH
"SNORKLE, INC.","SNORKLE, INC."
SOARCE LLC,SOARCE LLC
VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,Virginia Tech
"SOCIAL CASCADE, LLC","SOCIAL CASCADE, LLC"
"SOCIETY FOR BIOPSYCHOSOCIAL SCIENCE AND MEDICINE, INC.","SOCIETY FOR BIOPSYCHOSOCIAL SCIENCE AND MEDICINE, INC."
SOCIETY FOR THE ADVANCEMENT OF BIOLOGY EDUCATION RESEARCH (SABER,SOCIETY FOR THE ADVANCEMENT OF BIOLOGY EDUCATION RESEARCH (SABER
"SOCTERA, INC.","SOCTERA, INC."
SOFI TEC LLC,SOFI TEC LLC
"SOFT IMAGING, LLC","SOFT IMAGING, LLC"
"SOFTHREAD, INC.","SOFTHREAD, INC."
SOFTSONICS LLC,SOFTSONICS LLC
"SOFTWARE CONSULTANTS, INC.","SOFTWARE CONSULTANTS, INC."
SOFTWORTHY LLC,SOFTWORTHY LLC
SOILSERDEM LLC,SOILSERDEM LLC
"SOL ROBOTICS, INC.","SOL ROBOTICS, INC."
"SOLARID AR, LLC.","SOLARID AR, LLC."
SOLIDEC INC.,SOLIDEC INC.
"SOLIISH, INC.","SOLIISH, INC."
SOLIOME Inc.,SOLIOME Inc.
"SOMATOCEUTICS, LLC","SOMATOCEUTICS, LLC"
"VIRGINIA DIODES, INC.","VIRGINIA DIODES, INC."
"SOMATOLYNK, INC.","SOMATOLYNK, INC."
SONARA HEALTH INC,SONARA HEALTH INC
"SONATA SCIENTIFIC, LLC","SONATA SCIENTIFIC, LLC"
"SNC THERAPEUTICS, INC.","SNC THERAPEUTICS, INC."
SMARTCHARTS INC.,SMARTCHARTS INC.
SMARTAIRWAY LLC,SMARTAIRWAY LLC
SIRAJ THERAPEUTICS INC.,SIRAJ THERAPEUTICS INC.
"SIMPHOTEK, INC.","SIMPHOTEK, INC."
"SIMPLUSDX, INC.","SIMPLUSDX, INC."
"SIMPORE, INC.","SIMPORE, INC."
VISIONQUEST BIOMEDICAL INC,VISIONQUEST BIOMEDICAL INC
SINDRI MATERIALS CORP,SINDRI MATERIALS Corporation
SINGLE CRYSTAL DIAMOND INC,SINGLE CRYSTAL DIAMOND INC
"VISHENARY, LLC","VISHENARY, LLC"
"SINGLETO2 THERAPEUTICS, LLC","SINGLETO2 THERAPEUTICS, LLC"
VIRTUS THERAPEUTICS CORPORATION,VIRTUS THERAPEUTICS CORPORATION
"VIRTUOSO SURGICAL, INC.","VIRTUOSO SURGICAL, INC."
"SINTX TECHNOLOGIES, INC.","SINTX TECHNOLOGIES, INC."
VIRTUALLYBETTER HEALTH LLC,VIRTUALLYBETTER HEALTH LLC
SIRENOPT INC,SIRENOPT INC
SMART INFORMATION FLOW TECHNOLOGIES,SMART INFORMATION FLOW TECHNOLOGIES
"SIRONA MEDICAL TECHNOLOGIES, INC.","SIRONA MEDICAL TECHNOLOGIES, INC."
"SISTEMA UNIVERSITARIO ANA G. MENDEZ, INCORPORADO","SISTEMA UNIVERSITARIO ANA G. MENDEZ, INCORPORADO"
"SITEONE THERAPEUTICS, INC.","SITEONE THERAPEUTICS, INC."
SITKA TRIBE OF ALASKA,SITKA TRIBE OF ALASKA
SITKANA INC,SITKANA INC
"SIXLINE SEMICONDUCTOR, INC.","SIXLINE SEMICONDUCTOR, INC."
SKILLSGAPP LLC,SKILLSGAPP LLC
"SKIP TECHNOLOGY, INC.","SKIP TECHNOLOGY, INC."
"SKM INSTRUMENTS, LLC","SKM INSTRUMENTS, LLC"
SKYWAY BIOSCIENCES,SKYWAY BIOSCIENCES
"SLUICEBOX, INC.","SLUICEBOX, INC."
SMART GIRLS HQ LLC,SMART GIRLS HQ LLC
"SONAVEX, INC.","SONAVEX, INC."
"SONOGEN MEDICAL, INC.","SONOGEN MEDICAL, INC."
"SONOMOTION, INC.","SONOMOTION, INC."
"SPIROMATICS, INC.","SPIROMATICS, INC."
SPECTREE INC.,SPECTREE INC.
"SPERO THERAPEUTICS, INC.","SPERO THERAPEUTICS, INC."
"VIGNET, INC.","VIGNET, INC."
SPHERIC BIO INC,SPHERIC BIO INC
VIGILANT LABORATORIES LLC,VIGILANT LABORATORIES LLC
VIEWMIND INC,VIEWMIND INC
"SPINEX, INC.","SPINEX, INC."
"SPINHANCE, LLC","SPINHANCE, LLC"
"SPINOGENIX, INC.","SPINOGENIX, INC."
SPIRIFY PHARMA INC,SPIRIFY PHARMA INC
SPIRIT FIT & HEALTH INC,SPIRIT FIT & HEALTH INC
"VICTORY OVER CARBON, INC.","VICTORY OVER CARBON, INC."
SPOTTED TECH LLC,SPOTTED TECH LLC
"SPECTRAL LABS, INC.","SPECTRAL LABS, INC."
"SPR THERAPEUTICS, LLC","SPR THERAPEUTICS, LLC"
"SPREADING ACTIVATION TECHNOLOGIES, LLC","SPREADING ACTIVATION TECHNOLOGIES, LLC"
"SPRINGBOK, INC.","SPRINGBOK, INC."
VIAT SERVICES LLC,VIAT SERVICES LLC
VIADUCT TECHNOLOGIES LLC,VIADUCT TECHNOLOGIES LLC
STARGAZER DESIGN TECHNOLOGIES INC,STARGAZER DESIGN TECHNOLOGIES INC
STARK STREET MATERIALS COMPANY,STARK STREET MATERIALS COMPANY
VETERINARMEDIZINISCHE UNIVERSITAT WIEN,VETERINARMEDIZINISCHE UNIVERSITAT WIEN
STARNAV LLC,STARNAV LLC
STARSHIP HEALTH TECHNOLOGIES,STARSHIP HEALTH TECHNOLOGIES
"STATE OF NEW HAMPSHIRE-DEPARTMENT OF AGRICULTURE, MARKETS & FOOD","STATE OF NEW HAMPSHIRE-DEPARTMENT OF AGRICULTURE, MARKETS & FOOD"
VETERANS EDUCATION/RES/ASSN/NORTH/NE,VETERANS EDUCATION/RES/ASSN/NORTH/NE
"SPECTRAL THERAPEUTICS, INC.","SPECTRAL THERAPEUTICS, INC."
SPECTRAGENETICS,SPECTRAGENETICS
VIREO ADVISORS LLC,VIREO ADVISORS LLC
"SOUTH RAMPART PHARMA, LLC","SOUTH RAMPART PHARMA, LLC"
"SONORAN BIOSCIENCES, INC.","SONORAN BIOSCIENCES, INC."
SONOVAL LLC,SONOVAL LLC
"SONOVOICE, INC.","SONOVOICE, INC."
"SONOVOL, INC.","SONOVOL, INC."
SOOVU LABS INC,SOOVU LABS INC
SORBENTA INC,SORBENTA INC
SORCERER CORPORATION,SORCERER CORPORATION
"SORRENTO THERAPEUTICS, INC.","SORRENTO THERAPEUTICS, INC."
"SOTERYA, INC.","SOTERYA, INC."
SOUND INNOVATION LLC,SOUND INNOVATION LLC
SOUTH DAKOTA - STATEWIDE,SOUTH DAKOTA
SOUTH DAKOTA STATE DEPT OF HEALTH,SOUTH DAKOTA STATE DEPT OF HEALTH
SOUTHEAST ARIZONA AREA HEALTH EDUCATION CENTER,SOUTHEAST ARIZONA AREA HEALTH EDUCATION CENTER
"VINCERE BIOSCIENCES, INC.","VINCERE BIOSCIENCES, INC."
VIORA HEALTH INC,VIORA HEALTH INC
SOUTHERN NEVADA CANCER RESEARCH FDN,SOUTHERN NEVADA CANCER RESEARCH FDN
"SOWN TO GROW, INC.","SOWN TO GROW, INC."
SPACE KINETIC CORP.,SPACE KINETIC Corporation.
"SPACERAKE, INC.","SPACERAKE, INC."
SPACERX LLC,SPACERX LLC
SPADXTECH LLC,SPADXTECH LLC
"VIOCARE, INC.","VIOCARE, INC."
VINDHYA DATA SCIENCE INC.,VINDHYA DATA SCIENCE INC.
SPATIAL SURGICAL LLC,SPATIAL SURGICAL LLC
"SPEARSTONE SOLUTIONS, LLC","SPEARSTONE SOLUTIONS, LLC"
"SPECTACULAR LABS, INC.","SPECTACULAR LABS, INC."
003259439,003259439
"MEDICAL CYBERWORLDS, INC.","MEDICAL CYBERWORLDS, INC."
"NORTH JERSEY AIDS ALLIANCE ,INC. (NJCRI)","NORTH JERSEY AIDS ALLIANCE ,INC. (NJCRI)"
Center de Recherches Mathematiques,Center de Recherches Mathematiques
Central Caribbean Marine Institute,Central Caribbean Marine Institute
Center of Science and Industry,Center of Science and Industry
Center for the Future of Arizon,Center for the Future of Arizon
Center for Western Weather and Water Extremes,Center for Western Weather and Water Extremes
Center for Limnology,Center for Limnology
"Center for Advanced Radiation Sources, University of Chicago","Center for Advanced Radiation Sources, University of Chicago"
CelluDot,CelluDot
Centre Songhai Regional,Centre Songhai Regional
"Catalyst Campus for Technology and Innovation, Inc.","Catalyst Campus for Technology and Innovation, Inc."
"Case Western Reserve University, Department of Chemistry","Case Western Reserve University, Department of Chemistry"
Carnegie Mellon,Carnegie Mellon
Carnegie Learning,Carnegie Learning
Carnegie Institution of Washington (California),Carnegie Institution of Washington (California)
"Carleton College, Grants Office","Carleton College, Grants Office"
Centre College of Kentucky,Centre College of Kentucky
Centre de Recherches Mathematiques (CRM),Centre de Recherches Mathematiques (CRM)
Canada-France-Hawaii Telescope Corporation,Canada-France-Hawaii Telescope Corporation
Chicago Horticultural Society (Chicago Botanic Garden),Chicago Horticultural Society (Chicago Botanic Garden)
"Claria Medical, Inc.","Claria Medical, Inc."
Clairways LLC,Clairways LLC
"City College, CUNY","City College, CUNY"
Circle Optics LLC,Circle Optics LLC
"Child Trends, Incorporated","Child Trends, Incorporated"
Chief Dull Knife Memorial College,Chief Dull Knife Memorial College
Chesapeake Biological Laboratory,Chesapeake Biological Laboratory
"Centro de Ciencias Matematicas, UNAM, Morelia","Centro de Ciencias Matematicas, UNAM, Morelia"
Chesapeake  Biological Laboratory,Chesapeake Biological Laboratory
Charmtech Labs LLC,Charmtech Labs LLC
Charles Babbage Institute,Charles Babbage Institute
Changing Expectations,Changing Expectations
Champlain College Incorporated,Champlain College Incorporated
Cerro Jazmin Archaeological Project,Cerro Jazmin Archaeological Project
Cape Rey Carlsbad Beach Hilton,Cape Rey Carlsbad Beach Hilton
Cambridge Terahertz Inc,Cambridge Terahertz Inc
CRYPTO ASSET TECHNOLOGY LABS INC,CRYPTO ASSET TECHNOLOGY LABS INC
CUAHSI,CUAHSI
"CURATIX, LLC","CURATIX, LLC"
CUNY: Baruch College,CUNY: Baruch College
"CULTURALLY RESPONSIVE SOLUTIONS, LLC","CULTURALLY RESPONSIVE SOLUTIONS, LLC"
CULTURA Y ARTE NATIVA DE LAS AMERICAS,CULTURA Y ARTE NATIVA DE LAS AMERICAS
"CULNEXIN THERAPEUTICS, INC.","CULNEXIN THERAPEUTICS, INC."
CUBRC/SUNY Buffalo (University at Buffalo),CUBRC/SUNY Buffalo (University at Buffalo)
"CTIS, INC.","CTIS, INC."
CURER INC,CURER INC
"CSU, Chico","CSU, Chico"
CSU Office of the Chancellor,CSU Office of the Chancellor
CSU Long Beach,CSU Long Beach
"CSR, INC.","CSR, INC."
"CRYSTAL SONIC, INC.","CRYSTAL SONIC, INC."
"CRYPTYX BIOSCIENCE, INC.","CRYPTYX BIOSCIENCE, INC."
"CUREBIOTECH, INC.","CUREBIOTECH, INC."
CURRENT INNOVATION NFP,CURRENT INNOVATION NFP
"California State University, Chico Research Foundation","California State University, Chico Research Foundation"
Cal Poly Pomona,Cal Poly Pomona
"California State University, Chico Research Fdtn","California State University, Chico Research Fdtn"
California State University Long Beach Research Foundation,California State University Long Beach Research Foundation
California State University - Moss Landing Marine Labs,California State University
"California Pacific Medical Center, Van Ness Campus",California Pacific
Cal. State. Uni. Domingues Hills,Cal. State. Uni. Domingues Hills
"Cal State LA University Auxiliary Services, Inc.","Cal State LA University Auxiliary Services, Inc."
"CYTONUS THERAPEUTICS, INC.","CYTONUS THERAPEUTICS, INC."
CURRENT SURGICAL INC.,CURRENT SURGICAL INC.
"CYTEQUEST, INC.","CYTEQUEST, INC."
"CYPRESS BIOPHARMA, INC.","CYPRESS BIOPHARMA, INC."
"CYION TECHNOLOGIES, LLC","CYION TECHNOLOGIES, LLC"
"CYANVAC, LLC","CYANVAC, LLC"
"CX THERAPEUTICS, INC","CX THERAPEUTICS, INC"
CUTCATH LLC,CUTCATH LLC
Climate Conservation,Climate Conservation
Code for Science and Society / 2i2c,Code for Science and Society / 2i2c
Coeur d Alene Tribe,Coeur d Alene Tribe
"DAYI THERAPEUTICS, INC.","DAYI THERAPEUTICS, INC."
DEEP REASONING AI INC,DEEP REASONING AI INC
"DEEP BLUE MEDICAL ADVANCES, INC.","DEEP BLUE MEDICAL ADVANCES, INC."
"DECODE HEALTH, INC.","DECODE HEALTH, INC."
"DEBATER HUB, LLC","DEBATER HUB, LLC"
DAYZERO WATER LLC,DAYZERO WATER LLC
"DAYNAMICA, INC.","DAYNAMICA, INC."
"DAY ZERO DIAGNOSTICS, INC.","DAY ZERO DIAGNOSTICS, INC."
DEEPBITS TECHNOLOGY Inc.,DEEPBITS TECHNOLOGY Inc.
DASISIMULATIONS LLC,DASISIMULATIONS LLC
"DARK MATTER THERAPEUTICS, INC.","DARK MATTER THERAPEUTICS, INC."
DARCY SOLUTIONS INC.,DARCY SOLUTIONS INC.
"DANCE4HEALING, INC.","DANCE4HEALING, INC."
DAIGNOSTX L.L.C.,DAIGNOSTX L.L.C.
"DABBLE HEALTH, INC.","DABBLE HEALTH, INC."
"DEEP SOUTH CENTER FOR ENVIRONMENTAL JUSTICE, INC.","DEEP SOUTH CENTER FOR ENVIRONMENTAL JUSTICE, INC."
"DEEPLUX TECHNOLOGY, INC","DEEPLUX TECHNOLOGY, INC"
"College of Business, University of Louisville","College of Business, University of Louisville"
DELINEATE INC,DELINEATE INC
"DEMERX, INC.","DEMERX, INC."
DELTAMED LLC,DELTAMED LLC
"DELTA HEALTH ALLIANCE, INC.","DELTA HEALTH ALLIANCE, INC."
"DELPOR, INC.","DELPOR, INC."
DELL FEDERAL SYSTEMS L.P.,DELL FEDERAL SYSTEMS L.P.
DELIX THERAPEUTICS,DELIX THERAPEUTICS
